Samples,Accuracy,Recall,Precision,F1,Kappa,MCC,Selection Rate
8,0.875,1.0,0.875,0.9333333333333333,0.0,0.0,1.0
1,1.0,1.0,1.0,1.0,,0.0,1.0
5,0.8,1.0,0.8,0.8888888888888888,0.0,0.0,1.0
8,0.625,1.0,0.625,0.7692307692307693,0.0,0.0,1.0
5,0.6,1.0,0.6,0.75,0.0,0.0,1.0
10,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666663,0.16666666666666666,0.6
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
10,0.6,0.3333333333333333,1.0,0.5,0.2857142857142857,0.4082482904638631,0.2
6,0.6666666666666666,0.0,0.0,0.0,-0.19999999999999996,-0.2,0.16666666666666666
8,0.5,0.0,0.0,0.0,0.0,0.0,0.0
5,0.8,0.0,0.0,0.0,0.0,0.0,0.0
6,0.8333333333333334,0.5,1.0,0.6666666666666666,0.5714285714285714,0.6324555320336759,0.16666666666666666
1,1.0,0.0,0.0,0.0,,0.0,0.0
4,1.0,1.0,1.0,1.0,1.0,1.0,0.25
7,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
3,0.6666666666666666,1.0,0.5,0.6666666666666666,0.3999999999999999,0.5,0.6666666666666666
3,0.3333333333333333,0.3333333333333333,1.0,0.5,0.0,0.0,0.3333333333333333
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,0.3333333333333333,1.0,0.3333333333333333,0.5,0.0,0.0,1.0
4,0.5,1.0,0.5,0.6666666666666666,0.0,0.0,1.0
3,0.6666666666666666,1.0,0.6666666666666666,0.8,0.0,0.0,1.0
2,1.0,1.0,1.0,1.0,,0.0,1.0
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,0.3333333333333333,1.0,0.3333333333333333,0.5,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1.0,1.0,1.0,1.0,,0.0,1.0
,,,,,,,
1,1.0,0.0,0.0,0.0,,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
,,,,,,,
2,1.0,0.0,0.0,0.0,,0.0,0.0
4,1.0,0.0,0.0,0.0,,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
4,1.0,0.0,0.0,0.0,,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0,,0.0,0.0
2,1.0,0.0,0.0,0.0,,0.0,0.0
2,0.5,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,
1,1.0,0.0,0.0,0.0,,0.0,0.0
3,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0,,0.0,0.0
7,1.0,0.0,0.0,0.0,,0.0,0.0
,,,,,,,
3,1.0,0.0,0.0,0.0,,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
6,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0,,0.0,0.0
2,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
3,1.0,0.0,0.0,0.0,,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
3,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0,,0.0,0.0
3,1.0,0.0,0.0,0.0,,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
3,1.0,0.0,0.0,0.0,,0.0,0.0
4,1.0,0.0,0.0,0.0,,0.0,0.0
2,1.0,0.0,0.0,0.0,,0.0,0.0
3,1.0,0.0,0.0,0.0,,0.0,0.0
2,1.0,0.0,0.0,0.0,,0.0,0.0
3,1.0,0.0,0.0,0.0,,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
2,1.0,0.0,0.0,0.0,,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
2,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0,,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,
1,1.0,0.0,0.0,0.0,,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
,,,,,,,
2,1.0,0.0,0.0,0.0,,0.0,0.0
,,,,,,,
1,1.0,0.0,0.0,0.0,,0.0,0.0
,,,,,,,
3,1.0,0.0,0.0,0.0,,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1.0,1.0,1.0,1.0,,0.0,1.0
3,1.0,1.0,1.0,1.0,,0.0,1.0
3,0.6666666666666666,1.0,0.6666666666666666,0.8,0.0,0.0,1.0
3,0.6666666666666666,1.0,0.6666666666666666,0.8,0.0,0.0,1.0
5,1.0,1.0,1.0,1.0,1.0,1.0,0.6
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0,,0.0,0.0
5,0.8,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0,,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
5,0.8,0.6666666666666666,1.0,0.8,0.6153846153846154,0.6666666666666666,0.4
3,1.0,0.0,0.0,0.0,,0.0,0.0
4,0.5,0.0,0.0,0.0,-0.33333333333333326,-0.3333333333333333,0.25
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,,0.0,0.0
5,0.6,0.5,0.5,0.5,0.16666666666666663,0.16666666666666666,0.4
,,,,,,,
1,1.0,1.0,1.0,1.0,,0.0,1.0
,,,,,,,
2,0.5,1.0,0.5,0.6666666666666666,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,1.0,1.0,1.0,1.0,,0.0,1.0
2,0.5,1.0,0.5,0.6666666666666666,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1.0,1.0,1.0,1.0,,0.0,1.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
